"compromissionType";"poweredBy";"serverType";"contentType";"isHiddenFraudulent";"contentLength";"ulrLenght"
0.0;"PHP";"Apache";"text";"FALSE";2474;43
0.0;"PHP";"Apache";"text";"FALSE";0;58
0.0;"PHP";"Apache";"text";"FALSE";0;66
0.0;"PHP";"Apache";"text";"FALSE";0;65
0.0;"PHP";"Apache";"text";"FALSE";0;109
0.0;"PHP";"Apache";"text";"FALSE";0;81
0.0;"PHP";"Apache";"text";"FALSE";0;91
0.0;"PHP";"Apache";"text";"FALSE";0;75
0.0;"PHP";"Apache";"text";"FALSE";0;82
0.0;"PHP";"Apache";"text";"FALSE";0;76
0.0;"PHP";"Apache";"text";"FALSE";0;54
0.0;"PHP";"Apache";"text";"FALSE";0;78
0.0;"PHP";"Apache";"text";"FALSE";0;83
0.0;"PHP";"Apache";"text";"FALSE";0;53
0.0;"PHP";"Apache";"text";"FALSE";0;51
0.0;"PHP";"Apache";"text";"FALSE";0;57
0.0;"PHP";"Apache";"text";"FALSE";0;55
0.0;"PHP";"Apache";"text";"FALSE";0;84
0.0;"PHP";"Apache";"text";"FALSE";0;56
0.0;"PHP";"Apache";"text";"FALSE";0;148
0.0;"PHP";"Apache";"text";"FALSE";0;150
0.0;"PHP";"Apache";"text";"FALSE";0;130
0.0;"PHP";"Apache";"text";"FALSE";0;191
0.0;"PHP";"Apache";"text";"FALSE";0;167
0.0;"PHP";"Apache";"text";"FALSE";0;174
0.0;"PHP";"Apache";"text";"FALSE";0;192
0.0;"PHP";"Apache";"text";"FALSE";0;142
0.0;"PHP";"Apache";"text";"FALSE";0;72
0.0;"PHP";"Apache";"text";"FALSE";0;86
0.0;"PHP";"Apache";"text";"FALSE";0;83
0.0;"PHP";"Apache";"text";"FALSE";0;87
0.0;"PHP";"Apache";"text";"FALSE";0;76
0.0;"PHP";"Apache";"text";"TRUE";15;38
0.0;"PHP";"Apache";"text";"FALSE";0;39
0.0;"PHP";"Apache";"text";"TRUE";15;34
0.0;"PHP";"Microsoft";"text";"FALSE";3147;46
0.0;"PHP";"Microsoft";"text";"FALSE";1635;53
0.0;"PHP";"Microsoft";"text";"FALSE";1635;44
0.0;"PHP";"Microsoft";"text";"FALSE";0;100
0.0;"PHP";"Microsoft";"text";"FALSE";0;101
0.0;"PHP";"Microsoft";"text";"FALSE";0;100
0.0;"PHP";"Microsoft";"text";"FALSE";0;101
0.0;"PHP";"Microsoft";"text";"FALSE";0;100
0.0;"PHP";"Microsoft";"text";"FALSE";0;101
0.0;"PHP";"Microsoft";"text";"FALSE";0;101
0.0;"PHP";"Microsoft";"text";"FALSE";0;101
0.0;"PHP";"Microsoft";"text";"TRUE";15;41
0.0;"PHP";"LiteSpeed";"text";"FALSE";10505;29
0.0;"PHP";"LiteSpeed";"text";"TRUE";12;31
0.0;"PHP";"Apache";"text";"FALSE";0;38
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;97
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;97
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;87
0.0;"PHP";"Apache";"text";"FALSE";0;143
0.0;"PHP";"Apache";"text";"FALSE";0;120
0.0;"PHP";"Apache";"text";"FALSE";0;133
0.0;"PHP";"Apache";"text";"FALSE";0;121
0.0;"PHP";"Apache";"text";"FALSE";0;141
0.0;"PHP";"Apache";"text";"FALSE";0;124
0.0;"PHP";"Apache";"text";"FALSE";0;139
0.0;"PHP";"Apache";"text";"FALSE";0;148
0.0;"PHP";"Apache";"text";"FALSE";0;124
0.0;"PHP";"Apache";"text";"FALSE";0;127
0.0;"PHP";"Apache";"text";"FALSE";0;120
0.0;"PHP";"Apache";"text";"FALSE";0;176
0.0;"PHP";"Apache";"text";"FALSE";0;143
0.0;"PHP";"Apache";"text";"FALSE";0;196
0.0;"PHP";"Apache";"text";"FALSE";0;121
0.0;"PHP";"Apache";"text";"FALSE";0;168
0.0;"PHP";"Apache";"text";"FALSE";0;133
0.0;"PHP";"Apache";"text";"FALSE";0;192
0.0;"PHP";"Apache";"text";"FALSE";0;133
0.0;"PHP";"Apache";"text";"FALSE";0;141
0.0;"PHP";"Apache";"text";"FALSE";0;192
0.0;"PHP";"Apache";"text";"FALSE";0;144
0.0;"PHP";"Apache";"text";"FALSE";0;138
0.0;"PHP";"Apache";"text";"FALSE";0;124
0.0;"PHP";"Apache";"text";"FALSE";0;130
0.0;"PHP";"Apache";"text";"FALSE";0;122
0.0;"PHP";"Apache";"text";"FALSE";0;149
0.0;"PHP";"Apache";"text";"FALSE";0;132
0.0;"PHP";"Apache";"text";"FALSE";0;143
0.0;"PHP";"Apache";"text";"FALSE";0;144
0.0;"PHP";"Apache";"text";"FALSE";0;124
0.0;"PHP";"Apache";"text";"FALSE";0;122
0.0;"PHP";"Apache";"text";"FALSE";0;130
0.0;"PHP";"Apache";"text";"FALSE";0;171
0.0;"PHP";"Apache";"text";"FALSE";0;154
0.0;"PHP";"Apache";"text";"TRUE";15;33
0.0;"PHP";"Microsoft";"text";"FALSE";1635;33
0.0;"PHP";"Microsoft";"text";"FALSE";0;91
0.0;"PHP";"Microsoft";"text";"FALSE";0;81
0.0;"PHP";"Microsoft";"text";"FALSE";0;92
0.0;"PHP";"Microsoft";"text";"FALSE";0;93
0.0;"PHP";"Microsoft";"text";"FALSE";0;93
0.0;"PHP";"Microsoft";"text";"FALSE";0;92
0.0;"PHP";"Microsoft";"text";"FALSE";0;80
0.0;"PHP";"Microsoft";"text";"FALSE";0;79
0.0;"PHP";"Microsoft";"text";"FALSE";0;79
0.0;"PHP";"Microsoft";"text";"FALSE";0;80
0.0;"PHP";"Microsoft";"text";"FALSE";0;80
0.0;"PHP";"Microsoft";"text";"FALSE";0;80
0.0;"PHP";"Microsoft";"text";"TRUE";18;30
0.0;"PHP";"Apache";"text";"FALSE";458;42
0.0;"PHP";"Apache";"text";"FALSE";2142;45
0.0;"PHP";"Apache";"text";"FALSE";0;41
0.0;"PHP";"Apache";"text";"FALSE";0;87
0.0;"PHP";"Apache";"text";"FALSE";0;100
0.0;"PHP";"Apache";"text";"FALSE";0;88
0.0;"PHP";"Apache";"text";"FALSE";0;87
0.0;"PHP";"Apache";"text";"FALSE";0;100
0.0;"PHP";"Apache";"text";"FALSE";0;100
0.0;"PHP";"Apache";"text";"FALSE";0;100
0.0;"PHP";"Apache";"text";"FALSE";0;87
0.0;"PHP";"Apache";"text";"FALSE";0;97
0.0;"PHP";"Apache";"text";"FALSE";0;97
0.0;"PHP";"Apache";"text";"FALSE";0;97
0.0;"PHP";"Apache";"text";"FALSE";0;97
0.0;"PHP";"Apache";"text";"FALSE";0;97
0.0;"PHP";"Apache";"text";"FALSE";0;97
0.0;"PHP";"Apache";"text";"FALSE";0;97
0.0;"PHP";"Apache";"text";"FALSE";0;97
0.0;"PHP";"Apache";"text";"FALSE";0;97
0.0;"PHP";"Apache";"text";"FALSE";0;97
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"FALSE";0;98
0.0;"PHP";"Apache";"text";"TRUE";15;37
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;40
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;37
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;35
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;48
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;34
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;38
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;37
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;73
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;72
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;66
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;64
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;71
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;45
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;76
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;54
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;47
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;67
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;62
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;45
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;69
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;72
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;68
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;62
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;65
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;47
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;52
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;66
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;52
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;53
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;54
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;50
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;50
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;51
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;49
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;44
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;49
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;45
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;46
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;50
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;47
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;45
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;58
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;56
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;60
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;53
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;53
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;46
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;58
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;47
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;47
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;55
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;58
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;51
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;43
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;44
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;47
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;45
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;46
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;45
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;58
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;51
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;53
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;76
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;58
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;55
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;45
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;46
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;46
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;46
0.0;"PHP";"LiteSpeed";"text";"FALSE";0;46
0.0;"PHP";"LiteSpeed";"text";"TRUE";15;35
0.0;"PHP";"Microsoft";"text";"FALSE";1635;48
0.0;"PHP";"Microsoft";"text";"FALSE";0;93
0.0;"PHP";"Microsoft";"text";"FALSE";0;93
0.0;"PHP";"Microsoft";"text";"FALSE";0;94
0.0;"PHP";"Microsoft";"text";"FALSE";0;105
0.0;"PHP";"Microsoft";"text";"FALSE";0;94
0.0;"PHP";"Microsoft";"text";"FALSE";0;89
0.0;"PHP";"Microsoft";"text";"FALSE";0;128
0.0;"PHP";"Microsoft";"text";"FALSE";0;83
0.0;"PHP";"Microsoft";"text";"FALSE";0;83
0.0;"PHP";"Microsoft";"text";"FALSE";0;83
0.0;"PHP";"Microsoft";"text";"FALSE";0;83
0.0;"PHP";"Microsoft";"text";"FALSE";0;83
0.0;"PHP";"Microsoft";"text";"FALSE";831;83
0.0;"PHP";"Microsoft";"text";"FALSE";0;124
0.0;"PHP";"Microsoft";"text";"FALSE";0;246
0.0;"PHP";"Microsoft";"text";"FALSE";0;208
0.0;"PHP";"Microsoft";"text";"FALSE";0;192
0.0;"PHP";"Microsoft";"text";"FALSE";0;272
0.0;"PHP";"Microsoft";"text";"FALSE";0;244
0.0;"PHP";"Microsoft";"text";"FALSE";0;191
0.0;"PHP";"Microsoft";"text";"FALSE";0;177
0.0;"PHP";"Microsoft";"text";"FALSE";0;196
0.0;"PHP";"Microsoft";"text";"FALSE";0;135
0.0;"PHP";"Microsoft";"text";"FALSE";0;137
0.0;"PHP";"Microsoft";"text";"FALSE";0;136
0.0;"PHP";"Microsoft";"text";"FALSE";0;146
0.0;"PHP";"Microsoft";"text";"FALSE";0;131
0.0;"PHP";"Microsoft";"text";"FALSE";0;132
0.0;"PHP";"Microsoft";"text";"FALSE";0;139
0.0;"PHP";"Microsoft";"text";"FALSE";0;133
0.0;"PHP";"Microsoft";"text";"FALSE";0;133
0.0;"PHP";"Microsoft";"text";"FALSE";0;133
0.0;"PHP";"Microsoft";"text";"FALSE";0;133
0.0;"PHP";"Microsoft";"text";"FALSE";0;133
0.0;"PHP";"Microsoft";"text";"FALSE";0;130
0.0;"PHP";"Microsoft";"text";"FALSE";0;132
0.0;"PHP";"Microsoft";"text";"FALSE";0;140
0.0;"PHP";"Microsoft";"text";"FALSE";0;266
0.0;"PHP";"Microsoft";"text";"FALSE";0;224
0.0;"PHP";"Microsoft";"text";"FALSE";0;269
0.0;"PHP";"Microsoft";"text";"FALSE";0;285
0.0;"PHP";"Microsoft";"text";"FALSE";0;251
0.0;"PHP";"Microsoft";"text";"TRUE";15;43
0.0;"PHP";"Apache";"text";"FALSE";0;44
0.0;"PHP";"Apache";"text";"FALSE";0;86
0.0;"PHP";"Apache";"text";"FALSE";0;91
0.0;"PHP";"Apache";"text";"FALSE";0;91
0.0;"PHP";"Apache";"text";"FALSE";0;91
0.0;"PHP";"Apache";"text";"FALSE";0;90
0.0;"PHP";"Apache";"text";"FALSE";0;91
0.0;"PHP";"Apache";"text";"FALSE";0;91
0.0;"PHP";"Apache";"text";"TRUE";15;39
0.0;"PHP";"Apache";"text";"FALSE";0;42
0.0;"PHP";"Apache";"text";"FALSE";0;88
0.0;"PHP";"Apache";"text";"FALSE";0;90
0.0;"PHP";"Apache";"text";"FALSE";0;90
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;91
0.0;"PHP";"Apache";"text";"FALSE";0;88
0.0;"PHP";"Apache";"text";"FALSE";0;120
0.0;"PHP";"Apache";"text";"FALSE";0;68
0.0;"PHP";"Apache";"text";"FALSE";0;69
0.0;"PHP";"Apache";"text";"FALSE";0;71
0.0;"PHP";"Apache";"text";"FALSE";0;120
0.0;"PHP";"Apache";"text";"FALSE";0;91
0.0;"PHP";"Apache";"text";"FALSE";0;91
0.0;"PHP";"Apache";"text";"FALSE";0;91
0.0;"PHP";"Apache";"text";"FALSE";0;90
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;90
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;90
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;157
0.0;"PHP";"Apache";"text";"FALSE";0;274
0.0;"PHP";"Apache";"text";"FALSE";0;142
0.0;"PHP";"Apache";"text";"FALSE";0;139
0.0;"PHP";"Apache";"text";"FALSE";0;250
0.0;"PHP";"Apache";"text";"FALSE";0;124
0.0;"PHP";"Apache";"text";"FALSE";0;171
0.0;"PHP";"Apache";"text";"FALSE";0;156
0.0;"PHP";"Apache";"text";"FALSE";0;143
0.0;"PHP";"Apache";"text";"FALSE";0;254
0.0;"PHP";"Apache";"text";"FALSE";0;128
0.0;"PHP";"Apache";"text";"FALSE";0;137
0.0;"PHP";"Apache";"text";"FALSE";0;246
0.0;"PHP";"Apache";"text";"FALSE";0;122
0.0;"PHP";"Apache";"text";"FALSE";0;54
0.0;"PHP";"Apache";"text";"FALSE";0;55
0.0;"PHP";"Apache";"text";"FALSE";0;55
0.0;"PHP";"Apache";"text";"FALSE";0;55
0.0;"PHP";"Apache";"text";"FALSE";0;55
0.0;"PHP";"Apache";"text";"FALSE";0;55
0.0;"PHP";"Apache";"text";"FALSE";0;119
0.0;"PHP";"Apache";"text";"FALSE";0;131
0.0;"PHP";"Apache";"text";"FALSE";0;141
0.0;"PHP";"Apache";"text";"FALSE";0;123
0.0;"PHP";"Apache";"text";"FALSE";0;133
0.0;"PHP";"Apache";"text";"FALSE";0;120
0.0;"PHP";"Apache";"text";"FALSE";0;123
0.0;"PHP";"Apache";"text";"FALSE";0;123
0.0;"PHP";"Apache";"text";"FALSE";0;138
0.0;"PHP";"Apache";"text";"FALSE";0;136
0.0;"PHP";"Apache";"text";"FALSE";0;134
0.0;"PHP";"Apache";"text";"FALSE";0;129
0.0;"PHP";"Apache";"text";"FALSE";0;132
0.0;"PHP";"Apache";"text";"FALSE";0;123
0.0;"PHP";"Apache";"text";"FALSE";0;127
0.0;"PHP";"Apache";"text";"FALSE";0;121
0.0;"PHP";"Apache";"text";"FALSE";0;134
0.0;"PHP";"Apache";"text";"FALSE";0;138
0.0;"PHP";"Apache";"text";"FALSE";0;132
0.0;"PHP";"Apache";"text";"FALSE";0;132
0.0;"PHP";"Apache";"text";"FALSE";0;127
0.0;"PHP";"Apache";"text";"FALSE";0;135
0.0;"PHP";"Apache";"text";"FALSE";0;128
0.0;"PHP";"Apache";"text";"FALSE";0;146
0.0;"PHP";"Apache";"text";"FALSE";0;144
0.0;"PHP";"Apache";"text";"FALSE";0;162
0.0;"PHP";"Apache";"text";"FALSE";0;120
0.0;"PHP";"Apache";"text";"FALSE";0;134
0.0;"PHP";"Apache";"text";"FALSE";0;120
0.0;"PHP";"Apache";"text";"FALSE";0;134
0.0;"PHP";"Apache";"text";"FALSE";0;186
0.0;"PHP";"Apache";"text";"FALSE";0;168
0.0;"PHP";"Apache";"text";"FALSE";0;200
0.0;"PHP";"Apache";"text";"FALSE";0;172
0.0;"PHP";"Apache";"text";"FALSE";0;166
0.0;"PHP";"Apache";"text";"FALSE";0;134
0.0;"PHP";"Apache";"text";"FALSE";0;242
0.0;"PHP";"Apache";"text";"FALSE";0;146
0.0;"PHP";"Apache";"text";"FALSE";0;258
0.0;"PHP";"Apache";"text";"FALSE";0;156
0.0;"PHP";"Apache";"text";"FALSE";0;270
0.0;"PHP";"Apache";"text";"FALSE";0;138
0.0;"PHP";"Apache";"text";"FALSE";0;246
0.0;"PHP";"Apache";"text";"FALSE";0;148
0.0;"PHP";"Apache";"text";"FALSE";0;262
0.0;"PHP";"Apache";"text";"TRUE";15;37
0.0;"PHP";"Apache";"text";"TRUE";78;27
0.0;"PHP";"Microsoft";"text";"FALSE";1245;39
0.0;"PHP";"Microsoft";"text";"FALSE";0;86
0.0;"PHP";"Microsoft";"text";"FALSE";0;86
0.0;"PHP";"Microsoft";"text";"FALSE";0;84
0.0;"PHP";"Microsoft";"text";"FALSE";0;100
0.0;"PHP";"Microsoft";"text";"FALSE";0;101
0.0;"PHP";"Microsoft";"text";"FALSE";0;103
0.0;"PHP";"Microsoft";"text";"FALSE";0;103
0.0;"PHP";"Microsoft";"text";"FALSE";0;102
0.0;"PHP";"Microsoft";"text";"FALSE";0;103
0.0;"PHP";"Microsoft";"text";"FALSE";0;103
0.0;"PHP";"Microsoft";"text";"FALSE";0;101
0.0;"PHP";"Microsoft";"text";"FALSE";0;103
0.0;"PHP";"Microsoft";"text";"FALSE";0;103
0.0;"PHP";"Microsoft";"text";"FALSE";0;103
0.0;"PHP";"Microsoft";"text";"FALSE";0;101
0.0;"PHP";"Microsoft";"text";"FALSE";0;103
0.0;"PHP";"Microsoft";"text";"FALSE";0;103
0.0;"PHP";"Microsoft";"text";"FALSE";0;101
0.0;"PHP";"Microsoft";"text";"FALSE";0;101
0.0;"PHP";"Microsoft";"text";"FALSE";0;102
0.0;"PHP";"Microsoft";"text";"FALSE";0;101
0.0;"PHP";"Microsoft";"text";"FALSE";0;103
0.0;"PHP";"Microsoft";"text";"FALSE";0;103
0.0;"PHP";"Microsoft";"text";"FALSE";0;103
0.0;"PHP";"Microsoft";"text";"FALSE";0;108
0.0;"PHP";"Microsoft";"text";"FALSE";0;100
0.0;"PHP";"Microsoft";"text";"FALSE";0;97
0.0;"PHP";"Microsoft";"text";"FALSE";0;87
0.0;"PHP";"Microsoft";"text";"FALSE";0;87
0.0;"PHP";"Microsoft";"text";"FALSE";0;102
0.0;"PHP";"Microsoft";"text";"FALSE";0;87
0.0;"PHP";"Microsoft";"text";"FALSE";0;88
0.0;"PHP";"Microsoft";"text";"FALSE";0;86
0.0;"PHP";"Microsoft";"text";"FALSE";0;66
0.0;"PHP";"Microsoft";"text";"FALSE";0;66
0.0;"PHP";"Microsoft";"text";"FALSE";0;112
0.0;"PHP";"Microsoft";"text";"FALSE";0;118
0.0;"PHP";"Microsoft";"text";"FALSE";0;110
0.0;"PHP";"Microsoft";"text";"FALSE";0;111
0.0;"PHP";"Microsoft";"text";"FALSE";0;109
0.0;"PHP";"Microsoft";"text";"FALSE";0;115
0.0;"PHP";"Microsoft";"text";"FALSE";0;111
0.0;"PHP";"Microsoft";"text";"FALSE";0;112
0.0;"PHP";"Microsoft";"text";"FALSE";0;114
0.0;"PHP";"Microsoft";"text";"FALSE";0;118
0.0;"PHP";"Microsoft";"text";"FALSE";0;114
0.0;"PHP";"Microsoft";"text";"FALSE";0;117
0.0;"PHP";"Microsoft";"text";"FALSE";0;121
0.0;"PHP";"Microsoft";"text";"FALSE";0;118
0.0;"PHP";"Microsoft";"text";"FALSE";0;116
0.0;"PHP";"Microsoft";"text";"FALSE";0;113
0.0;"PHP";"Microsoft";"text";"FALSE";0;109
0.0;"PHP";"Microsoft";"text";"FALSE";0;115
0.0;"PHP";"Microsoft";"text";"FALSE";0;111
0.0;"PHP";"Microsoft";"text";"FALSE";0;116
0.0;"PHP";"Microsoft";"text";"FALSE";0;111
0.0;"PHP";"Microsoft";"text";"FALSE";0;120
0.0;"PHP";"Microsoft";"text";"FALSE";0;120
0.0;"PHP";"Microsoft";"text";"FALSE";0;116
0.0;"PHP";"Microsoft";"text";"FALSE";0;119
0.0;"PHP";"Microsoft";"text";"FALSE";0;119
0.0;"PHP";"Microsoft";"text";"FALSE";0;120
0.0;"PHP";"Microsoft";"text";"FALSE";0;122
0.0;"PHP";"Microsoft";"text";"FALSE";0;122
0.0;"PHP";"Microsoft";"text";"FALSE";0;119
0.0;"PHP";"Microsoft";"text";"FALSE";0;121
0.0;"PHP";"Microsoft";"text";"FALSE";0;126
0.0;"PHP";"Microsoft";"text";"FALSE";0;122
0.0;"PHP";"Microsoft";"text";"FALSE";0;131
0.0;"PHP";"Microsoft";"text";"FALSE";0;123
0.0;"PHP";"Microsoft";"text";"FALSE";0;123
0.0;"PHP";"Microsoft";"text";"FALSE";0;126
0.0;"PHP";"Microsoft";"text";"FALSE";0;123
0.0;"PHP";"Microsoft";"text";"FALSE";0;116
0.0;"PHP";"Microsoft";"text";"FALSE";0;117
0.0;"PHP";"Microsoft";"text";"FALSE";0;119
0.0;"PHP";"Microsoft";"text";"FALSE";0;119
0.0;"PHP";"Microsoft";"text";"FALSE";0;118
0.0;"PHP";"Microsoft";"text";"FALSE";0;119
0.0;"PHP";"Microsoft";"text";"FALSE";0;118
0.0;"PHP";"Microsoft";"text";"FALSE";0;116
0.0;"PHP";"Microsoft";"text";"FALSE";0;117
0.0;"PHP";"Microsoft";"text";"FALSE";0;122
0.0;"PHP";"Microsoft";"text";"FALSE";0;121
0.0;"PHP";"Microsoft";"text";"FALSE";0;122
0.0;"PHP";"Microsoft";"text";"FALSE";0;115
0.0;"PHP";"Microsoft";"text";"FALSE";0;116
0.0;"PHP";"Microsoft";"text";"FALSE";0;114
0.0;"PHP";"Microsoft";"text";"FALSE";0;115
0.0;"PHP";"Microsoft";"text";"FALSE";0;113
0.0;"PHP";"Microsoft";"text";"FALSE";0;112
0.0;"PHP";"Microsoft";"text";"TRUE";15;34
0.0;"PHP";"Apache";"text";"FALSE";1981;46
0.0;"PHP";"Apache";"text";"TRUE";78;42
0.0;"PHP";"Apache";"text";"TRUE";78;29
0.0;"PHP";"Apache";"text";"FALSE";0;42
0.0;"PHP";"Apache";"text";"FALSE";0;62
0.0;"PHP";"Apache";"text";"FALSE";0;63
0.0;"PHP";"Apache";"text";"FALSE";0;130
0.0;"PHP";"Apache";"text";"FALSE";0;89
0.0;"PHP";"Apache";"text";"FALSE";0;93
0.0;"PHP";"Apache";"text";"FALSE";0;109
