"isHiddenFraudulent";"poweredBy";"serverType";"contentType";"compromissionType";"contentLength";"ulrLenght"
"FALSE";"PHP";"Apache";"text";"defacement";2474;43
"FALSE";"PHP";"Apache";"text";"defacement";0;58
"FALSE";"PHP";"Apache";"text";"defacement";0;66
"FALSE";"PHP";"Apache";"text";"defacement";0;65
"FALSE";"PHP";"Apache";"text";"defacement";0;109
"FALSE";"PHP";"Apache";"text";"defacement";0;81
"FALSE";"PHP";"Apache";"text";"defacement";0;91
"FALSE";"PHP";"Apache";"text";"defacement";0;75
"FALSE";"PHP";"Apache";"text";"defacement";0;82
"FALSE";"PHP";"Apache";"text";"defacement";0;76
"FALSE";"PHP";"Apache";"text";"defacement";0;54
"FALSE";"PHP";"Apache";"text";"defacement";0;78
"FALSE";"PHP";"Apache";"text";"defacement";0;83
"FALSE";"PHP";"Apache";"text";"defacement";0;53
"FALSE";"PHP";"Apache";"text";"defacement";0;51
"FALSE";"PHP";"Apache";"text";"defacement";0;57
"FALSE";"PHP";"Apache";"text";"defacement";0;55
"FALSE";"PHP";"Apache";"text";"defacement";0;84
"FALSE";"PHP";"Apache";"text";"defacement";0;56
"FALSE";"PHP";"Apache";"text";"defacement";0;148
"FALSE";"PHP";"Apache";"text";"defacement";0;150
"FALSE";"PHP";"Apache";"text";"defacement";0;130
"FALSE";"PHP";"Apache";"text";"defacement";0;191
"FALSE";"PHP";"Apache";"text";"defacement";0;167
"FALSE";"PHP";"Apache";"text";"defacement";0;174
"FALSE";"PHP";"Apache";"text";"defacement";0;192
"FALSE";"PHP";"Apache";"text";"defacement";0;142
"FALSE";"PHP";"Apache";"text";"defacement";0;72
"FALSE";"PHP";"Apache";"text";"defacement";0;86
"FALSE";"PHP";"Apache";"text";"defacement";0;83
"FALSE";"PHP";"Apache";"text";"defacement";0;87
"FALSE";"PHP";"Apache";"text";"defacement";0;76
"TRUE";"PHP";"Apache";"text";"defacement";15;38
"FALSE";"PHP";"Apache";"text";"defacement";0;39
"TRUE";"PHP";"Apache";"text";"defacement";15;34
"FALSE";"PHP";"Microsoft";"text";"defacement";3147;46
"FALSE";"PHP";"Microsoft";"text";"defacement";1635;53
